Designator,Mid X,Mid Y,Rotation,Layer
C1,157.3,94.27,0.0,top
C10,116.052651,89.71,0.0,top
C11,116.750189,80.67,180.0,top
C12,143.5,85.92,0.0,top
C13,137.0,108.77,180.0,top
C14,143.5,102.42,0.0,top
C2,157.3,67.77,0.0,top
C3,164.14375,98.37,270.0,top
C4,164.14,71.24,270.0,top
C5,157.3,86.97,0.0,top
C6,157.3,59.42,0.0,top
C7,183.902651,92.12,0.0,top
C8,183.902651,64.72,0.0,top
C9,116.052651,98.61,180.0,top
J1,71.64,75.905,180.0,bottom
J15,71.65,63.17,180.0,top
J2,201.6,75.905,180.0,bottom
J4,71.64,92.255,180.0,bottom
Q1,94.8,62.17,0.0,top
Q2,94.8,56.17,180.0,top
Q3,94.8,87.27,0.0,top
Q4,94.8,81.27,180.0,top
R1,164.2,88.57,90.0,top
R10,93.47,92.19,90.0,top
R11,96.03,92.19,270.0,top
R12,95.9,72.02,90.0,top
R13,96.03,96.77,90.0,top
R2,164.1,61.12,90.0,top
R3,191.7,89.87,0.0,top
R4,191.7,62.62,0.0,top
R5,95.9,67.22,270.0,top
R6,136.97,106.27,0.0,top
R7,93.3,67.22,90.0,top
R8,93.3,72.02,90.0,top
R9,93.5,96.77,90.0,top
U1,171.23,90.95,0.0,top
U2,171.23,63.37,0.0,top
U3,129.4,94.165,90.0,top
