Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.1uF,
IC1,SOIC127P1030X265-20N,1,ULN2803CDWR,
J1,PinHeader_1x03_P2.54mm_Vertical,1,To preamp,
J2,PinHeader_1x03_P2.54mm_Vertical,1,From preamp,
J3,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,1,Digital In,
J4,PinHeader_1x08_P2.54mm_Vertical,1,Digital Pass Through,
J5,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Power In,
J6,PinHeader_1x05_P2.54mm_Vertical,1,Power Out,
J7,PinHeader_1x10_P2.54mm_Vertical,1,ADS1115,
"J8, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Replace,
K1,DIPS762W60P254L1420H630Q10N,1,Input 1,
K2,DIPS762W60P254L1420H630Q10N,1,Input 2,
K3,DIPS762W60P254L1420H630Q10N,1,Input 3,
K4,DIPS762W60P254L1420H630Q10N,1,Input 4,
K5,DIPS762W60P254L1420H630Q10N,1,Output Mute,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,0R,
"R3, R4",0805,2,10K,
"RCA1, RCA10, RCA2, RCA3, RCA4, RCA5, RCA6, RCA7, RCA8, RCA9",RCA Connector ALI,10,RCA_Connector_ALI,
U1,SOIC127P1030X265-18N,1,MCP23008-E_SO,
