Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.1uF,
IC1,SOIC127P1030X265-20N,1,ULN2803CDWR,
J1,PinSocket_1x03_P2.54mm_Vertical,1,To preamp,
J10,PinSocket_1x10_P2.54mm_Vertical,1,Switch & trigger outputs and analog inputs,
"J11, J13",M8 4 pin,2,Conn_01x04,
"J12, J14",M8 3 pin,2,Conn_01x03,
J15,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J2,PinSocket_1x03_P2.54mm_Vertical,1,From preamp,
J3,IDC-Header_2x08_P2.54mm_Vertical,1,Digital In,
J4,PinSocket_1x08_P2.54mm_Vertical,1,Digital Pass Through,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J9,PinHeader_1x10_P2.54mm_Vertical,1,ADS1115,
K1,DIPS762W60P254L1420H630Q10N,1,Input 1,
K2,DIPS762W60P254L1420H630Q10N,1,Input 5 (opt.),
K3,DIPS762W60P254L1420H630Q10N,1,Input 2,
K4,DIPS762W60P254L1420H630Q10N,1,Input 3,
K5,DIPS762W60P254L1420H630Q10N,1,Input 4,
K6,DIPS762W60P254L1420H630Q10N,1,Output Mute,
K7,DIPS762W60P254L1420H630Q10N,1,Trigger 1,
K8,DIPS762W60P254L1420H630Q10N,1,Trigger 2,
"R1, R2, R3, R4",0805,4,10K,
"RCA1, RCA10, RCA2, RCA3, RCA4, RCA5, RCA6, RCA7, RCA8, RCA9",RCA Connector ALI,10,RCA_Connector_ALI,
U1,SOIC127P1030X265-18N,1,MCP23008-E_SO,
