Designator,Mid X,Mid Y,Rotation,Layer
C1,6.47,34.97,270.0,bottom
IC1,-1.82,49.06,90.0,bottom
J1,54.305,34.335,0.0,bottom
J10,237.985,30.48,180.0,bottom
J11,247.65,40.29,0.0,top
J12,265.03,40.21,0.0,top
J13,247.66,10.41,0.0,top
J14,265.13,10.45,0.0,top
J15,204.44,23.27,180.0,top
J2,184.305,34.335,0.0,bottom
J3,3.54,3.0275,270.0,bottom
J4,54.305,17.985,0.0,bottom
J5,118.945,3.98,270.0,bottom
J9,195.88,13.145,180.0,top
K1,16.26,50.67,90.0,top
K2,118.26,50.7,90.0,top
K3,41.76,50.67,90.0,top
K4,67.26,50.67,90.0,top
K5,92.76,50.67,90.0,top
K6,197.27,34.43,90.0,top
K7,256.67,53.82,180.0,top
K8,256.67,24.1,180.0,top
R1,200.2,16.92,0.0,top
R2,200.22,19.42,180.0,top
R3,200.21,21.98,180.0,top
R4,200.18,24.52,180.0,top
RCA1,16.28,18.86,0.0,top
RCA10,217.88,40.36,0.0,top
RCA2,41.78,18.86,0.0,top
RCA3,67.28,18.86,0.0,top
RCA4,92.78,18.86,0.0,top
RCA5,217.88,10.36,0.0,top
RCA6,16.28,37.06,0.0,top
RCA7,41.78,37.06,0.0,top
RCA8,67.28,37.06,0.0,top
RCA9,92.78,37.06,0.0,top
U1,-1.02,34.96,90.0,bottom
