Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0805,3,100nF,
"C3, C5",1206,2,22uF,
C6,CP_Radial_D8.0mm_P3.50mm,1,100uF,
J1,TBP01R2-508-02BK (VERT),1,8V,
J2,TBP01R2-508-02BK (VERT),1,Power relay trigger,
J3,OLED SPI 2.08,1,SPI DISPLAY 1,
J4,OLED SPI 2.08,1,SPI DISPLAY 2,
J5,IDC-Header_2x08_P2.54mm_Vertical,1,Digital Out,
J6,TBP01R2-508-02BK (VERT),1,3.3V (Opt),
J7,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
R1,0805,1,330R,
"SW1, SW2",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,2,RotaryEncoder_Switch,
U1,Vishay_MOLD-3Pin,1,TSOP34838,
U2,SOIC8_ONS-M,1,CAT24C64WI-GT3,
U3,MODULE_ESP32_DEVKIT_V1,1,ESP32-DEVKIT-V1,
U4,APC-817xx-SL_AMB-M,1,APC-817B1-SL,
