Designator,Mid X,Mid Y,Rotation,Layer
C1,187.87,110.0525,180.0,bottom
C2,166.48,112.35,90.0,bottom
C3,169.2,112.95,90.0,bottom
C4,49.61,112.3675,90.0,bottom
C5,52.4,112.9675,90.0,bottom
C6,165.867349,88.28,90.0,bottom
J1,51.05,87.86,0.0,bottom
J2,38.46,87.8575,0.0,bottom
J3,196.055,106.081664,0.0,top
J4,79.055,106.081664,0.0,top
J5,287.55,89.2875,270.0,bottom
J6,6.19,87.86,0.0,bottom
J7,164.315,123.16,90.0,bottom
R1,36.68,111.97,180.0,bottom
SW1,254.93,106.22,270.0,top
SW2,14.9,106.16,270.0,top
U1,134.89,116.965,180.0,top
U2,188.04,105.52,0.0,bottom
U3,195.525,106.2325,270.0,bottom
U4,36.68,104.0259,270.0,bottom
