Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D30.0mm_P10.00mm_SnapIn,2,10000uF 35V,
"C3, C4",CP_Radial_D10.0mm_P5.00mm,2,220uF 50V,
"D1, D2, D3, D4",TO-220-2_Vertical,4,D_45deg_Filled,
"D10, D11, D12, D13, D14, D15, D6, D7, D8, D9",LED_Rectangular_W5.0mm_H2.0mm,10,~,
D5,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4007,
F1,Keystone fuseholder 4527,1,Fuse - 8A T,
"HS1, HS2, HS3, HS4",Heatsink_Fischer_SK145-STS_29x12mm_2xDrill2.5mm,4,Heatsink,
HS5,Heatsink_Fischer_SK129-STS_42x25mm_2xDrill2.5mm,1,Heatsink,
J1,TBP01R1-508-02BK,1,AC in,
J2,TBP01R1-508-02BK,1,Relay power,
J3,PinHeader_2x09_P2.54mm_Vertical,1,Conn_02x09,
Q1,TO-3P-3_Vertical_BCE,1,NJW0302,
Q2,TO-220-3_Vertical_BCE,1,MJE15030,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,12R,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,51R,
R3,Potentiometer_Bourns_3296W_Vertical,1,500R,
R4,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,1,1K 2W,
U1,TO-92_Inline,1,LM334Z,
