Designator,Mid X,Mid Y,Rotation,Layer
C1,128.842934,-68.972915,90.0,top
C2,161.872934,-69.092913,90.0,top
C3,202.427677,-54.38,0.0,top
C4,196.325,-67.012916,180.0,top
D1,128.815,-88.257916,180.0,top
D10,189.93,-37.217916,90.0,top
D11,187.39,-37.217916,90.0,top
D12,184.855,-37.217916,90.0,top
D13,182.31,-37.217916,90.0,top
D14,179.785,-37.217916,90.0,top
D15,177.235,-37.217916,90.0,top
D2,159.325,-88.177916,180.0,top
D3,159.325,-48.567916,0.0,top
D4,128.805,-48.602916,0.0,top
D5,199.795,-94.152916,0.0,top
D6,200.085,-37.217916,90.0,top
D7,197.55,-37.217916,90.0,top
D8,195.01,-37.217916,90.0,top
D9,192.47,-37.217916,90.0,top
F1,184.005,-61.032916,90.0,top
HS1,128.745,-40.071081,0.0,top
HS2,128.815,-96.71318,180.0,top
HS3,159.405,-40.091081,0.0,top
HS4,159.475,-96.71318,180.0,top
HS5,199.86,-87.270169,180.0,top
J1,105.0575,-68.73,90.0,top
J2,219.52,-40.42,270.0,top
J3,189.935,-43.187916,270.0,top
Q1,199.825,-85.687916,180.0,top
Q2,216.085,-69.392916,180.0,top
R1,199.805,-76.002916,0.0,top
R2,199.815,-80.002916,0.0,top
R3,192.905,-53.692916,270.0,top
R4,211.805,-62.912916,180.0,top
U1,206.725,-70.282916,180.0,top
